"ID"	"feed"	"time"	"text1"	"text2"	"TAG"	"Nb_tag_detected"
3116514	"en_GBR_dailyt_int"	"2014-10-01 00:16:29"	"Britain joins front line as RAF strikes Isil jihadists"	"Britain begins air strikes against the Islamic State in Iraq and the Levant as Kurdish peshmerga fighters battle to claw back land from jihadists"	"GBR"	1
3116514	"en_GBR_dailyt_int"	"2014-10-01 00:16:29"	"Britain joins front line as RAF strikes Isil jihadists"	"Britain begins air strikes against the Islamic State in Iraq and the Levant as Kurdish peshmerga fighters battle to claw back land from jihadists"	"IRQ"	1
3116515	"en_GBR_dailyt_int"	"2014-10-01 00:16:29"	"Afghanistan signs deal to keep US troops"	"New Afghan government signs security deals that will allow US and Nato troops to remain in country next year"	"AFG"	2
3116515	"en_GBR_dailyt_int"	"2014-10-01 00:16:29"	"Afghanistan signs deal to keep US troops"	"New Afghan government signs security deals that will allow US and Nato troops to remain in country next year"	"USA"	1
3117103	"en_GBR_dailyt_int"	"2014-10-01 01:16:30"	"First case of Ebola diagnosed in the US"	"The United States has diagnosed its first case of the deadly Ebola virus and search begins for others who could have been infected"	"USA"	2
3118371	"en_GBR_dailyt_int"	"2014-10-01 04:16:30"	"Ebola outbreak may soon be over in Nigeria"	"With no new cases since August 31 and remaining identified potential patients nearing end of follow up checks Nigeria, whose outbreak was far smaller than neighbouring countries, close to declaring end of deadly outbreak"	"NGA"	1
3118768	"en_GBR_dailyt_int"	"2014-10-01 05:16:31"	"Armed former convict rode lift with Barack Obama as Secret Service chief admits failures"	"Director of Secret Service Julia Pierson insists ""the president is safe today"" despite latest revelation that a convicted felon rode in a lift with Mr Obama in Atlanta this month while carrying a gun"	"USA"	1
3119237	"en_GBR_dailyt_int"	"2014-10-01 06:16:31"	"Oklahoma unveils new execution procedures - including upping dose of sedative"	"After botched 43 minute execution of Clayton Lockett, Oklahoma's new procedures will see dose of controversial sedative used increased five fold, number of media witnesses reduced, as well as more training for prison staff"	"USA"	1
3119238	"en_GBR_dailyt_int"	"2014-10-01 06:16:31"	"Hong Kong pro-democracy protests - watch live"	"Watch live coverage from Hong Kong's Admiralty area as pro-democracy protesters continue their rallies, defying calls to disperse in a major pushback against Beijing"	"CHN"	1
3119238	"en_GBR_dailyt_int"	"2014-10-01 06:16:31"	"Hong Kong pro-democracy protests - watch live"	"Watch live coverage from Hong Kong's Admiralty area as pro-democracy protesters continue their rallies, defying calls to disperse in a major pushback against Beijing"	"HKG"	1
3119585	"en_GBR_dailyt_int"	"2014-10-01 07:16:32"	"Seven more bodies found on deadly Japanese volcano"	"Death toll rises at 43, while concern grows over 47 more volcanoes across Japan considered at risk of eruption"	"JPN"	2
3119586	"en_GBR_dailyt_int"	"2014-10-01 07:16:32"	"Twin suicide attacks strike army buses in Kabul"	"Six dead following two separate bomb attacks against vehicles carrying Afghan army personnel just a day after a the new Afghan government signed off a deal to keep US troops in the country"	"AFG"	2
3119586	"en_GBR_dailyt_int"	"2014-10-01 07:16:32"	"Twin suicide attacks strike army buses in Kabul"	"Six dead following two separate bomb attacks against vehicles carrying Afghan army personnel just a day after a the new Afghan government signed off a deal to keep US troops in the country"	"USA"	1
3120005	"en_GBR_dailyt_int"	"2014-10-01 08:16:33"	"At least 12 dead as trains collide in India"	"Human error the most likely cause and Lucknow-Barauni Express collides with another busy passenger train in Uttar Pradesh, claiming a dozen lives and injuring scores more"	"IND"	1
3120006	"en_GBR_dailyt_int"	"2014-10-01 08:16:33"	"Avalanche in Chilean Andes kills two elite skiers"	"Chilean rescue helicopter recovers bodies of Swedish and Canadian professional skiers with two further Swedes recovering in hospital following avalanche near border with Argentina"	"ARG"	1
3120006	"en_GBR_dailyt_int"	"2014-10-01 08:16:33"	"Avalanche in Chilean Andes kills two elite skiers"	"Chilean rescue helicopter recovers bodies of Swedish and Canadian professional skiers with two further Swedes recovering in hospital following avalanche near border with Argentina"	"CAN"	1
3120006	"en_GBR_dailyt_int"	"2014-10-01 08:16:33"	"Avalanche in Chilean Andes kills two elite skiers"	"Chilean rescue helicopter recovers bodies of Swedish and Canadian professional skiers with two further Swedes recovering in hospital following avalanche near border with Argentina"	"CHL"	1
3120006	"en_GBR_dailyt_int"	"2014-10-01 08:16:33"	"Avalanche in Chilean Andes kills two elite skiers"	"Chilean rescue helicopter recovers bodies of Swedish and Canadian professional skiers with two further Swedes recovering in hospital following avalanche near border with Argentina"	"SWE"	2
3120007	"en_GBR_dailyt_int"	"2014-10-01 08:16:33"	"Explorer rescued after 12 days in cave in Peru"	"Spaniard Cecilio Lopez Sanchez, 40, evacuated on a stretcher at end of huge search effort after becoming trapped nearly two weeks ago while exploring a cave in Chachapoyas"	"ESP"	1
3120007	"en_GBR_dailyt_int"	"2014-10-01 08:16:33"	"Explorer rescued after 12 days in cave in Peru"	"Spaniard Cecilio Lopez Sanchez, 40, evacuated on a stretcher at end of huge search effort after becoming trapped nearly two weeks ago while exploring a cave in Chachapoyas"	"PER"	1
3120008	"en_GBR_dailyt_int"	"2014-10-01 08:16:33"	"First Ebola victim in America was sent home with antibiotics"	"The patient, who contracted the disease in Liberia, presented himself at a hospital in Dallas, Texas but was given antibiotics and told to go home. Now, health officials have launched a desperate search for others he could have unwittingly infected"	"LBR"	1
3120008	"en_GBR_dailyt_int"	"2014-10-01 08:16:33"	"First Ebola victim in America was sent home with antibiotics"	"The patient, who contracted the disease in Liberia, presented himself at a hospital in Dallas, Texas but was given antibiotics and told to go home. Now, health officials have launched a desperate search for others he could have unwittingly infected"	"USA"	1
3121009	"en_GBR_dailyt_int"	"2014-10-01 10:16:33"	"Missing boy reunited with family by TV reporter sent to cover his disappearance"	"A missing 10-year-old Florida boy has been taken home to his family after being found by a journalist who was reporting on his disappearance"	"USA"	1
3121010	"en_GBR_dailyt_int"	"2014-10-01 10:16:33"	"Tetris to be made into a sci-fi film"	"Any Tetris addicts will know there is enough drama and tension to translate onto screen"	""	NA
3121563	"en_GBR_dailyt_int"	"2014-10-01 11:16:34"	"German soldiers 'stranded' in Afghanistan as more planes breakdown"	"Germany's military continues to be plagued by malfunctions and failures as 150 soldiers are left stranded in Afghanistan by the latest aircraft fault"	"AFG"	1
3121563	"en_GBR_dailyt_int"	"2014-10-01 11:16:34"	"German soldiers 'stranded' in Afghanistan as more planes breakdown"	"Germany's military continues to be plagued by malfunctions and failures as 150 soldiers are left stranded in Afghanistan by the latest aircraft fault"	"DEU"	2
3121564	"en_GBR_dailyt_int"	"2014-10-01 11:16:34"	"Tony Abbott shows support for burqa ban in parliament"	"Australian prime minister Tony Abbott indicates support for controversial burqa ban in secure buildings as Muslim community says it is 'feeling under siege'"	"AUS"	2
3121565	"en_GBR_dailyt_int"	"2014-10-01 11:16:34"	"Kim Jong-un 'so fat he has fractured his ankles'"	"North Korean leader in hospital as his feet fail to take the strain of his ever-increasing weight, newspaper claims"	"PRK"	2
