"ID"	"feed"	"time"	"text1"	"text2"	"TAG"	"Nb_tag_detected"
3117024	"en_USA_nytime_int"	"2014-10-01 00:34:10"	"Airline Passenger With Ebola Is Under Treatment in Dallas"	"The man, who took a commercial flight from Liberia, is said to be the first traveler to have brought the virus to the United States on a passenger plane."	"LBR"	1
3117024	"en_USA_nytime_int"	"2014-10-01 00:34:10"	"Airline Passenger With Ebola Is Under Treatment in Dallas"	"The man, who took a commercial flight from Liberia, is said to be the first traveler to have brought the virus to the United States on a passenger plane."	"USA"	1
3117025	"en_USA_nytime_int"	"2014-10-01 00:34:10"	"Letter From the Middle East: A Conspicuous Absence on List of Top Baby Names"	"Israel’s population authority left Muhammad off the annual Top 10 list of baby names, even though it was No. 1, setting off a discussion about the status of the Arab minority."	"ISR"	1
3117506	"en_USA_nytime_int"	"2014-10-01 01:34:11"	"Sinosphere Blog: Chinese Umbrellas for Hong Kong?"	"During heavy censorship in mainland Chinese media of the Hong Kong democracy demonstrations, some images of umbrellas circulating online took on a special significance."	"CHN"	1
3117506	"en_USA_nytime_int"	"2014-10-01 01:34:11"	"Sinosphere Blog: Chinese Umbrellas for Hong Kong?"	"During heavy censorship in mainland Chinese media of the Hong Kong democracy demonstrations, some images of umbrellas circulating online took on a special significance."	"HKG"	1
3117507	"en_USA_nytime_int"	"2014-10-01 01:34:11"	"E.U. Inquiry Into Fiat Tax Deal Could Reverberate"	"Rivals say Jean-Claude Juncker, incoming president of the European Commission, helped turn Luxembourg into a tax haven."	"LUX"	2
3117952	"en_USA_nytime_int"	"2014-10-01 02:34:12"	"In a Shift, British Sharpen Their Tone on Hong Kong Protests"	"Comments by the deputy prime minister marked a hardening of tone from the British government, which normally adopts diplomatic language with China when speaking about its former colony."	"CHN"	1
3117952	"en_USA_nytime_int"	"2014-10-01 02:34:12"	"In a Shift, British Sharpen Their Tone on Hong Kong Protests"	"Comments by the deputy prime minister marked a hardening of tone from the British government, which normally adopts diplomatic language with China when speaking about its former colony."	"GBR"	1
3117952	"en_USA_nytime_int"	"2014-10-01 02:34:12"	"In a Shift, British Sharpen Their Tone on Hong Kong Protests"	"Comments by the deputy prime minister marked a hardening of tone from the British government, which normally adopts diplomatic language with China when speaking about its former colony."	"HKG"	1
3117953	"en_USA_nytime_int"	"2014-10-01 02:34:12"	"Open Source: Beating of African Students by Mob in India Prompts Soul-Searching on Race"	"Video of three African students being beaten in a New Delhi metro station prompted an online discussion of racism in India."	"IND"	3
