"ID"	"feed"	"time"	"text1"	"text2"	"TAG"	"Nb_tag_detected"
3118057	"en_IND_tindia_int"	"2014-10-01 03:17:22"	"ISIS could become world's first terrorist state, warns UK"	"Britain's home minister Theresa May said on Tuesday that ISIS could become the world's first truly terrorist state and bomb the UK with nuclear and chemical weapons."	"GBR"	2
3118058	"en_IND_tindia_int"	"2014-10-01 03:17:22"	"Mexico says 14 of 57 missing students found"	"Fourteen of the 57 students reported missing after weekend shootings that killed six people in the southern state of Guerrero have been located, officials have said."	"MEX"	2
3118414	"en_IND_tindia_int"	"2014-10-01 04:17:22"	"Islamic State uses grain to tighten grip in Iraq"	"For Salah Paulis, it came down to a choice between his faith and his crop.A wheat farmer from outside Mosul, Paulis and his family fled the militant group Islamic State early last month."	"IRQ"	2
3118415	"en_IND_tindia_int"	"2014-10-01 04:17:22"	"Britain carries out first air strikes against IS in Iraq"	"British fighter jets on Tuesday bombed an artillery post and an armed truck used by the Islamic State group in Iraq in the Royal Air Force's first strikes in the US-led air campaign."	"GBR"	2
3118415	"en_IND_tindia_int"	"2014-10-01 04:17:22"	"Britain carries out first air strikes against IS in Iraq"	"British fighter jets on Tuesday bombed an artillery post and an armed truck used by the Islamic State group in Iraq in the Royal Air Force's first strikes in the US-led air campaign."	"IRQ"	1
3118415	"en_IND_tindia_int"	"2014-10-01 04:17:22"	"Britain carries out first air strikes against IS in Iraq"	"British fighter jets on Tuesday bombed an artillery post and an armed truck used by the Islamic State group in Iraq in the Royal Air Force's first strikes in the US-led air campaign."	"USA"	1
3118416	"en_IND_tindia_int"	"2014-10-01 04:17:22"	"Hong Kong protests approach potential National Day flashpoint"	"Thousands of pro-democracy protesters thronged the streets of Hong Kong early on Wednesday, ratcheting up pressure on the pro-Beijing government that has called the action illegal, with both sides marking uneasy National Day celebrations."	"CHN"	1
3118416	"en_IND_tindia_int"	"2014-10-01 04:17:22"	"Hong Kong protests approach potential National Day flashpoint"	"Thousands of pro-democracy protesters thronged the streets of Hong Kong early on Wednesday, ratcheting up pressure on the pro-Beijing government that has called the action illegal, with both sides marking uneasy National Day celebrations."	"HKG"	1
3119316	"en_IND_tindia_int"	"2014-10-01 06:17:23"	"IS forces closing in on Syrian-Kurdish town, despite US air strikes"	"Islamic State fighters were closing in Wednesday on a key Syrian town near the Turkish border, despite multiple US air strikes, as the Pentagon cautioned it ""cannot bomb the militants into obscurity""."	"SYR"	1
3119316	"en_IND_tindia_int"	"2014-10-01 06:17:23"	"IS forces closing in on Syrian-Kurdish town, despite US air strikes"	"Islamic State fighters were closing in Wednesday on a key Syrian town near the Turkish border, despite multiple US air strikes, as the Pentagon cautioned it ""cannot bomb the militants into obscurity""."	"TUR"	1
3119316	"en_IND_tindia_int"	"2014-10-01 06:17:23"	"IS forces closing in on Syrian-Kurdish town, despite US air strikes"	"Islamic State fighters were closing in Wednesday on a key Syrian town near the Turkish border, despite multiple US air strikes, as the Pentagon cautioned it ""cannot bomb the militants into obscurity""."	"USA"	1
3119317	"en_IND_tindia_int"	"2014-10-01 06:17:23"	"Seven additional bodies found on Japan volcano"	"Seven more bodies have been found by rescuers combing the peak of a volcano that erupted at the weekend, Japanese state broadcaster NHK and other media reported Wednesday"	"JPN"	2
3119646	"en_IND_tindia_int"	"2014-10-01 07:17:23"	"Wish burqa was not worn in Australia: PM Tony Abbott"	"Australian Prime Minister Tony Abbott on Wednesday said that he wished the burqa ""was not worn"" in the country while indicating his view on backing a call for a ban on the Muslim veil for women inside parliament."	"AUS"	3
